iter	Passed	Remaining
0	59	59801
1	60	29993
2	60	20054
3	60	15082
4	60	12095
5	60	10105
6	61	8686
7	61	7622
8	61	6792
9	61	6127
10	62	5583
11	62	5132
12	62	4749
13	62	4426
14	63	4141
15	63	3892
16	63	3671
17	63	3475
18	63	3301
19	64	3143
20	64	2999
21	64	2869
22	64	2755
23	65	2647
24	65	2547
25	65	2455
26	65	2370
27	65	2290
28	66	2215
29	66	2147
30	66	2084
31	66	2024
32	67	1970
33	67	1918
34	67	1868
35	67	1820
36	68	1776
37	68	1735
38	68	1694
39	68	1655
40	69	1618
41	69	1583
42	69	1550
43	69	1517
44	70	1487
45	70	1458
46	70	1431
47	70	1404
48	71	1378
49	71	1353
50	71	1329
51	71	1306
52	71	1284
53	72	1263
54	72	1242
55	72	1222
56	72	1204
57	72	1185
58	73	1167
59	73	1150
60	73	1133
61	73	1117
62	74	1101
63	74	1085
64	74	1071
65	74	1056
66	74	1042
67	74	1027
68	75	1014
69	75	1001
70	75	989
71	75	977
72	76	965
73	76	954
74	76	942
75	76	932
76	76	921
77	77	911
78	77	902
79	77	892
80	77	883
81	78	874
82	78	865
83	78	856
84	78	846
85	78	837
86	78	827
87	79	819
88	79	811
89	79	804
90	79	796
91	79	789
92	80	781
93	80	774
94	80	768
95	80	761
96	81	754
97	81	748
98	81	741
99	81	735
100	81	729
101	81	721
102	82	715
103	82	710
104	82	704
105	82	698
106	83	693
107	83	688
108	83	682
109	83	677
110	84	672
111	84	667
112	84	662
113	84	657
114	84	652
115	85	647
116	85	643
117	85	638
118	85	633
119	85	629
120	86	625
121	86	620
122	86	615
123	86	611
124	86	607
125	86	603
126	87	599
127	87	594
128	87	590
129	87	587
130	88	583
131	88	579
132	88	576
133	88	572
134	88	569
135	89	565
136	89	561
137	89	558
138	89	554
139	89	551
140	89	548
141	90	544
142	90	541
143	90	538
144	90	535
145	91	532
146	91	529
147	91	526
148	91	523
149	91	520
150	92	517
151	92	514
152	92	511
153	92	509
154	92	506
155	93	503
156	93	501
157	93	498
158	93	495
159	93	493
160	94	490
161	94	488
162	94	485
163	94	483
164	95	480
165	95	478
166	95	476
167	95	474
168	95	471
169	96	469
170	96	467
171	96	464
172	96	462
173	96	460
174	97	458
175	97	456
176	97	454
177	97	451
178	98	449
179	98	447
180	98	445
181	98	443
182	98	441
183	99	439
184	99	437
185	99	435
186	99	433
187	99	431
188	100	429
189	100	427
190	100	425
191	100	424
192	101	422
193	101	420
194	101	418
195	101	417
196	101	415
197	102	413
198	102	412
199	102	410
200	102	409
201	103	407
202	103	406
