iter	Passed	Remaining
0	58	58488
1	58	29418
2	59	19732
3	59	14876
4	60	11964
5	60	10029
6	60	8648
7	61	7604
8	61	6797
9	62	6151
10	62	5624
11	62	5180
12	63	4804
13	63	4484
14	64	4204
15	64	3960
16	64	3744
17	65	3552
18	65	3382
19	65	3228
20	66	3088
21	66	2961
22	67	2846
23	67	2741
24	67	2643
25	68	2552
26	68	2466
27	68	2388
28	69	2315
29	69	2247
30	69	2184
31	70	2123
32	70	2067
33	70	2016
34	71	1965
35	71	1918
36	72	1874
37	72	1833
38	72	1792
39	73	1755
40	73	1717
41	73	1681
42	74	1648
43	74	1616
44	74	1586
45	75	1557
46	75	1530
47	75	1504
48	76	1478
49	76	1454
50	76	1430
51	77	1408
52	77	1386
53	77	1366
54	78	1346
55	78	1326
56	79	1307
57	79	1289
58	79	1272
59	80	1255
60	80	1239
61	80	1223
62	81	1208
63	81	1192
64	81	1178
65	82	1165
66	82	1151
67	83	1137
68	83	1124
69	83	1112
70	84	1099
71	84	1087
72	84	1075
73	85	1064
74	85	1053
75	85	1042
76	86	1033
77	86	1022
78	86	1012
79	87	1002
80	87	992
81	87	982
82	87	971
83	88	963
84	88	955
85	89	947
86	89	939
87	89	930
88	90	922
89	90	914
90	90	907
91	91	899
92	91	892
93	91	885
94	92	878
95	92	872
96	92	865
97	93	858
98	93	852
99	93	845
100	94	839
101	94	833
102	95	827
103	95	821
104	95	816
105	96	810
106	96	805
107	96	799
108	97	794
109	97	789
110	97	784
111	98	779
112	98	774
113	99	769
114	99	764
115	99	759
116	99	753
117	100	749
118	100	744
119	100	739
120	101	735
121	101	730
122	101	726
123	102	721
124	102	717
125	102	713
126	103	708
127	103	704
128	103	701
129	104	697
130	104	693
131	104	689
132	105	685
133	105	681
134	105	678
135	106	674
136	106	670
137	106	667
138	107	664
139	107	660
140	107	657
141	108	653
142	108	650
143	108	646
144	109	643
145	109	640
146	109	637
147	110	634
148	110	631
149	110	628
150	111	626
151	111	623
152	112	620
153	112	617
154	112	614
155	113	612
156	113	609
157	113	606
158	114	603
159	114	600
160	114	597
161	114	594
162	115	592
163	115	589
164	115	586
165	116	584
166	116	581
167	116	579
168	117	576
169	117	574
170	118	572
171	118	569
172	118	567
173	119	565
174	119	563
175	119	560
176	120	558
177	120	556
178	120	554
179	121	551
180	121	549
181	121	547
182	122	545
183	122	543
184	122	540
185	123	539
186	123	537
187	123	535
188	124	533
189	124	531
190	124	529
191	125	527
192	125	525
193	125	523
194	126	521
195	126	519
196	126	517
197	127	515
198	127	513
199	127	511
200	128	509
201	128	507
202	128	505
203	129	504
204	129	502
205	129	500
206	130	498
207	130	496
208	130	495
209	131	493
210	131	491
211	131	490
212	132	488
213	132	487
214	133	485
215	133	484
216	133	482
217	134	481
218	134	479
219	134	478
220	135	476
221	135	475
222	135	473
223	136	472
224	136	470
225	136	468
226	137	467
227	137	465
228	137	464
229	138	462
230	138	461
231	138	459
232	139	458
233	139	456
234	139	455
235	140	453
236	140	452
237	140	451
238	141	449
239	141	448
240	141	447
241	142	445
242	142	444
243	143	443
244	143	442
245	143	440
246	144	439
247	144	438
248	144	436
249	145	435
250	145	434
251	145	432
252	146	431
253	146	430
254	146	429
255	148	430
256	148	429
257	148	428
258	149	427
259	150	427
260	150	426
261	150	425
262	151	424
263	151	422
264	152	421
265	152	420
266	152	419
267	153	418
268	153	417
269	153	416
270	154	415
271	154	413
272	154	412
273	155	411
274	155	410
275	156	409
276	156	408
277	156	407
278	157	406
279	157	405
280	157	404
281	158	403
282	158	402
283	159	401
284	159	400
285	159	399
286	160	398
287	160	397
288	160	395
289	161	394
290	161	393
291	162	392
292	162	391
293	162	390
294	163	389
295	163	388
296	163	388
297	164	387
298	164	386
299	165	385
300	165	384
301	166	383
302	166	383
303	166	382
304	167	381
305	167	380
306	168	379
307	168	378
308	168	377
309	169	376
310	169	375
311	169	374
312	170	373
313	170	372
314	170	371
315	171	370
316	171	369
317	171	368
318	172	367
319	172	366
320	173	366
321	173	365
322	173	364
323	174	363
324	174	362
325	174	361
326	175	360
327	175	359
328	175	358
329	176	357
330	176	356
331	176	355
332	177	355
333	177	354
334	178	355
335	179	354
336	179	353
337	180	352
338	180	351
339	180	350
340	181	350
341	181	349
342	181	348
343	182	347
344	182	346
345	183	345
346	183	345
347	184	344
348	184	344
349	185	344
350	185	343
351	186	342
352	186	341
353	186	340
354	187	339
355	187	339
356	187	338
357	188	337
358	188	336
359	188	335
360	189	334
361	189	334
362	189	333
363	190	332
364	190	331
365	191	331
366	191	330
367	191	329
368	192	328
369	192	328
370	193	327
371	193	326
372	193	325
373	194	325
374	194	324
375	195	323
376	195	322
377	195	322
378	196	321
379	196	321
380	197	320
381	197	319
382	197	318
383	198	318
384	198	317
385	199	316
386	199	315
387	199	314
388	199	314
389	200	313
390	200	312
391	201	311
392	201	311
393	201	310
394	202	309
395	202	309
396	202	308
397	203	307
398	203	306
399	203	305
400	204	305
401	204	304
402	205	303
403	205	303
404	205	302
405	206	301
406	206	301
407	206	300
408	207	299
409	207	298
410	207	298
411	208	297
412	208	296
413	210	297
414	210	296
415	210	295
416	211	295
417	211	294
418	211	293
419	212	293
420	212	292
421	212	291
422	213	290
423	213	290
424	214	289
425	214	288
426	214	288
427	215	287
428	215	286
429	215	285
430	216	285
431	216	284
432	216	283
433	217	283
434	217	282
435	217	281
436	218	281
437	218	280
438	219	279
439	219	279
440	219	278
441	220	277
442	220	277
443	220	276
444	221	275
445	221	275
446	222	274
447	222	274
448	222	273
449	223	272
450	223	271
451	223	271
452	224	270
453	224	270
454	224	269
455	225	268
456	225	268
457	225	267
458	226	266
459	226	266
460	227	265
461	227	264
462	227	264
463	228	263
464	228	262
465	228	262
466	229	261
467	229	260
468	229	260
469	230	259
470	230	258
471	230	258
472	231	257
473	231	256
474	231	256
475	232	255
476	232	254
477	232	254
478	233	253
479	233	253
480	234	252
481	234	251
482	234	251
483	235	250
484	235	250
485	235	249
486	236	248
487	236	248
488	236	247
489	237	246
490	237	246
491	238	245
492	238	245
493	238	244
494	239	243
495	239	243
496	239	242
497	240	242
498	240	241
499	240	240
500	241	240
501	241	239
502	242	239
503	242	238
504	242	238
505	243	237
506	243	236
507	243	236
508	244	235
509	244	234
510	244	234
511	245	233
512	245	233
513	245	232
514	248	233
515	248	233
516	249	232
517	249	232
518	250	231
519	279	257
520	280	257
521	286	262
522	286	261
523	287	260
524	287	260
525	288	259
526	288	258
527	288	258
528	289	257
529	289	256
530	290	256
531	290	255
532	290	254
533	291	254
534	291	253
535	292	252
536	292	252
537	292	251
538	293	250
539	293	250
540	293	249
541	294	248
542	294	247
543	295	247
544	296	247
545	296	246
546	297	246
547	299	246
548	299	246
549	300	245
550	300	244
551	300	244
552	301	243
553	301	242
554	302	242
555	302	241
556	302	240
557	303	240
558	303	239
559	303	238
560	305	238
561	305	238
562	305	237
563	306	236
564	306	236
565	307	235
566	307	234
567	308	234
568	308	233
569	308	232
570	309	232
571	309	231
572	310	231
573	310	230
574	310	229
575	311	229
576	311	228
577	312	227
578	312	227
579	313	226
580	313	226
581	314	225
582	314	224
583	314	224
584	315	223
585	315	222
586	315	222
587	316	221
588	316	220
589	316	220
590	317	219
591	317	218
592	317	218
593	318	217
594	318	217
595	319	216
596	319	215
597	319	215
598	320	214
599	320	213
600	320	213
601	321	212
602	321	211
603	322	211
604	322	210
605	322	209
606	323	209
607	323	208
608	323	207
609	324	207
610	324	206
611	324	206
612	325	205
613	325	204
614	326	204
615	326	203
616	327	203
617	327	202
618	328	201
619	328	201
620	328	200
621	329	200
622	329	199
623	329	198
624	330	198
625	330	197
626	330	196
627	331	196
628	331	195
629	332	195
630	332	194
631	332	193
632	333	193
633	333	192
634	333	191
635	334	191
636	335	191
637	336	190
638	336	190
639	336	189
640	337	188
641	337	188
642	338	187
643	338	187
644	339	186
645	339	185
646	339	185
647	340	185
648	341	184
649	341	183
650	341	183
651	342	182
652	342	182
653	343	181
654	343	180
655	343	180
656	344	179
657	344	179
658	344	178
659	345	177
660	345	177
661	345	176
662	346	176
663	346	175
664	346	174
665	347	174
666	347	173
667	348	172
668	348	172
669	348	171
670	349	171
671	349	170
672	349	170
673	350	169
674	350	168
675	350	168
676	351	167
677	351	167
678	351	166
679	352	165
680	352	165
681	353	164
682	353	164
683	353	163
684	354	162
685	354	162
686	354	161
687	355	161
688	355	160
689	356	160
690	356	159
691	357	158
692	357	158
693	357	157
694	358	157
695	358	156
696	358	156
697	359	155
698	359	154
699	360	154
700	360	153
701	361	153
702	361	152
703	362	152
704	362	151
705	362	151
706	363	150
707	364	150
708	364	149
709	365	149
710	367	149
711	368	148
712	368	148
713	369	147
714	369	147
715	370	146
716	370	146
717	370	145
718	371	145
719	371	144
720	371	143
721	372	143
722	372	142
723	373	142
724	373	141
725	373	141
726	374	140
727	374	139
728	374	139
729	375	138
730	375	138
731	376	137
732	376	137
733	376	136
734	377	135
735	377	135
736	377	134
737	378	134
738	378	133
739	378	133
740	379	132
741	379	132
742	380	131
743	380	130
744	380	130
745	381	129
746	381	129
747	381	128
748	382	128
749	382	127
750	382	126
751	383	126
752	383	125
753	384	125
754	384	124
755	385	124
756	385	123
757	385	123
758	386	122
759	386	122
760	386	121
761	387	120
762	387	120
763	387	119
764	388	119
765	388	118
766	388	118
767	389	117
768	389	116
769	389	116
770	390	115
771	390	115
772	390	114
773	391	114
774	391	113
775	391	113
776	392	112
777	392	112
778	392	111
779	393	110
780	393	110
781	393	109
782	394	109
783	394	108
784	394	108
785	395	107
786	395	107
787	395	106
788	396	106
789	397	105
790	397	105
791	398	104
792	398	104
793	398	103
794	400	103
795	401	102
796	403	102
797	426	108
798	427	107
799	427	106
800	428	106
801	428	105
802	435	106
803	436	106
804	436	105
805	437	105
806	437	104
807	438	104
808	438	103
809	438	102
810	439	102
811	439	101
812	439	101
813	440	100
814	440	100
815	441	99
816	442	99
817	442	98
818	443	97
819	443	97
820	444	96
